"","mean","se_mean","sd","5%","95%","n_eff","Rhat","politician_id_numeric","fullname"
"alpha[433,28]",0.60650277609154,0.0439954909155234,0.723879882794121,-0.459298682503252,1.90597564538094,270.717716862938,1.00345749446806,433,"Pete Olson"
"alpha[433,29]",0.168606625533232,0.0506104682642174,0.910770907588094,-1.35179331562069,1.6848049102697,323.845292339405,1.0011496705956,433,"Pete Olson"
"alpha[433,30]",0.0285272432539088,0.15870433552646,1.07281409368699,-2.33298509238854,1.66020531707286,45.695281632377,1.05616087420033,433,"Pete Olson"
"alpha[433,31]",0.871397801445982,0.0409448284773362,0.587511252300654,0.0792077948512534,1.96709582469443,205.889531509574,1.01071395648129,433,"Pete Olson"
"alpha[433,32]",0.120219318212586,0.0587578891095302,0.972492574998003,-1.45392056757379,1.66434736320052,273.93039124202,1.00027807038139,433,"Pete Olson"
"alpha[434,1]",0.135806813625062,0.0493060219640585,0.986451510209779,-1.53745980827273,1.78272044636141,400.268629664905,1.00157278210674,434,"Erik Paulsen"
"alpha[434,2]",0.224735730274935,0.0795910618423739,0.963054160922914,-1.43514209835494,1.80396579337984,146.410703165864,1.0084578006722,434,"Erik Paulsen"
"alpha[434,3]",0.148362288403477,0.0940852639310834,0.982536653140426,-1.32222897570938,1.82736299666665,109.05719066377,1.01789423528235,434,"Erik Paulsen"
"alpha[434,4]",0.268296079105759,0.0626362867409078,0.909994459695693,-1.25336868990359,1.68481260513962,211.069503848407,1.01195384155231,434,"Erik Paulsen"
"alpha[434,5]",0.254855756550628,0.0662329670349257,0.893416592207118,-1.12360272937858,1.79088841164218,181.953161680257,1.00761133127352,434,"Erik Paulsen"
"alpha[434,6]",0.387801977488419,0.0651522037286882,0.893701032778032,-0.972816107052303,1.77034418064433,188.159564671166,1.00968269034084,434,"Erik Paulsen"
"alpha[434,7]",0.120215934992915,0.0685954258137176,0.934312886797589,-1.34417923610611,1.63808863069345,185.521550515597,1.01460333805176,434,"Erik Paulsen"
"alpha[434,8]",0.341795760182314,0.0850280456621795,0.939031930855834,-1.20126919627007,1.82146651272364,121.965310670005,1.02487444821581,434,"Erik Paulsen"
"alpha[434,9]",-0.0411521255270177,0.0357799153609106,0.548099791918524,-0.967155901731868,0.856444382282003,234.660859268741,1.01461741148294,434,"Erik Paulsen"
"alpha[434,10]",0.215089539162011,0.0616493580158856,0.95009924312117,-1.45324347323741,1.76125674459114,237.509413573074,1.00376506460399,434,"Erik Paulsen"
"alpha[434,11]",-1.12286087159735,0.528553208963723,1.004019272175,-2.7270071198518,0.686040648552846,3.60833350217323,1.18815560993238,434,"Erik Paulsen"
"alpha[434,12]",0.996938769601885,0.0558589926109013,0.661558801577581,0.0101209312621516,2.12590563698519,140.265448686704,1.00978408768648,434,"Erik Paulsen"
